

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- VIM STARTING ---
000.108  000.097: Allocated generic buffers
000.620  000.512: locale set
000.628  000.008: clipboard setup
000.635  000.007: window checked
001.350  000.715: inits 1
199.651  198.301: parsing arguments
199.662  000.011: expanding arguments
204.588  004.926: shell init
204.944  000.356: Termcap init
204.970  000.026: inits 2
205.179  000.209: init highlight
205.863  000.095  000.095: sourcing /opt/local/share/vim/vim74/ftoff.vim
207.328  001.306  001.306: sourcing /Users/israel/.vim/bundle/pathogen/autoload/pathogen.vim
207.521  000.047  000.047: sourcing /opt/local/share/vim/vim74/ftoff.vim
548.344  004.594  004.594: sourcing /Users/israel/.vim/symlinks/solarized/colors/solarized.vim
575.941  000.055  000.055: sourcing /Users/israel/.vim/bundle/io/ftdetect/io.vim
576.318  000.058  000.058: sourcing /Users/israel/.vim/bundle/sintax/ftdetect/sintax.vim
576.761  000.059  000.059: sourcing /Users/israel/.vim/bundle/vimlispy/ftdetect/vimlispy.vim
576.994  000.102  000.102: sourcing /Users/israel/.vim/bundle/vimoutliner/ftdetect/votl.vim
577.204  000.058  000.058: sourcing /Users/israel/.vim/bundle/vimregstyle/ftdetect/vrs.vim
577.546  000.159  000.159: sourcing /Users/israel/.vim/symlinks/asciidoc/ftdetect/asciidoc_filetype.vim
577.828  000.139  000.139: sourcing /Users/israel/.vim/symlinks/csv/ftdetect/csv.vim
578.043  000.032  000.032: sourcing /Users/israel/.vim/symlinks/efmc/ftdetect/efmc.vim
578.460  000.041  000.041: sourcing /Users/israel/.vim/symlinks/peg/ftdetect/peg.vim
578.634  000.047  000.047: sourcing /Users/israel/.vim/symlinks/puppet/ftdetect/puppet.vim
578.921  000.046  000.046: sourcing /Users/israel/.vim/symlinks/slimv/ftdetect/clojure.vim
579.494  000.229  000.229: sourcing /Users/israel/.vim/symlinks/vimoutliner/ftdetect/votl.vim
579.675  000.057  000.057: sourcing /Users/israel/.vim/symlinks/vimpeg/ftdetect/vimpeg.vim
579.973  000.043  000.043: sourcing /Users/israel/.vim/symlinks/xptemplate/ftdetect/xptemplate.detect.vim
580.178  000.045  000.045: sourcing /Users/israel/.vim/ftdetect/gofiletype.vim
580.328  000.046  000.046: sourcing /opt/local/share/vim/vimfiles/ftdetect/tmux.vim
580.576  030.558  029.342: sourcing /opt/local/share/vim/vim74/filetype.vim
581.974  000.076  000.076: sourcing /opt/local/share/vim/vim74/ftplugin.vim
583.175  000.061  000.061: sourcing /opt/local/share/vim/vim74/indent.vim
587.921  000.411  000.411: sourcing /opt/local/share/vim/vim74/syntax/syncolor.vim
589.481  000.297  000.297: sourcing /opt/local/share/vim/vim74/syntax/syncolor.vim
593.202  007.878  007.170: sourcing /Users/israel/.vim/symlinks/solarized/colors/solarized.vim
594.489  010.012  002.134: sourcing /opt/local/share/vim/vim74/syntax/synload.vim
594.540  011.218  001.206: sourcing /opt/local/share/vim/vim74/syntax/syntax.vim
596.364  000.523  000.523: sourcing /Users/israel/.vim/stl_bloated.vim
599.798  000.300  000.300: sourcing /opt/local/share/vim/vim74/syntax/syncolor.vim
601.335  000.299  000.299: sourcing /opt/local/share/vim/vim74/syntax/syncolor.vim
605.006  007.729  007.130: sourcing /Users/israel/.vim/symlinks/solarized/colors/solarized.vim
609.905  000.944  000.944: sourcing /opt/local/share/vim/vim74/macros/matchit.vim
611.249  000.269  000.269: sourcing /opt/local/share/vim/vim74/macros/editexisting.vim
714.156  508.658  451.238: sourcing $HOME/.vimrc
714.176  000.339: sourcing vimrc file(s)
716.276  001.690  001.690: sourcing /Users/israel/.vim/bundle/abolish/plugin/abolish.vim
716.650  000.115  000.115: sourcing /Users/israel/.vim/bundle/argfuljuggler/plugin/argful_juggler.vim
717.181  000.264  000.264: sourcing /Users/israel/.vim/bundle/bisectly/plugin/bisectly.vim
718.165  000.721  000.721: sourcing /Users/israel/.vim/bundle/cleopatra/plugin/Cleopatra.vim
718.740  000.312  000.312: sourcing /Users/israel/.vim/bundle/crunch/plugin/crunch.vim
720.111  000.537  000.537: sourcing /Users/israel/.vim/bundle/ctrlp/autoload/ctrlp/mrufiles.vim
720.564  001.427  000.890: sourcing /Users/israel/.vim/bundle/ctrlp/plugin/ctrlp.vim
724.376  000.434  000.434: sourcing /Users/israel/.vim/symlinks/repeat/autoload/repeat.vim
725.243  000.046  000.046: sourcing /Users/israel/.vim/symlinks/repeat/autoload/repeat.vim
725.293  004.420  003.940: sourcing /Users/israel/.vim/bundle/fanfingtastic/plugin/fanfingtastic.vim
730.600  005.068  005.068: sourcing /Users/israel/.vim/bundle/fugitive/plugin/fugitive.vim
731.207  000.319  000.319: sourcing /Users/israel/.vim/bundle/markmywords/plugin/markmywords.vim
731.644  000.231  000.231: sourcing /Users/israel/.vim/bundle/nexus/plugin/nexus.vim
732.331  000.408  000.408: sourcing /Users/israel/.vim/bundle/porter-stem/plugin/porter-stem.vim
732.690  000.161  000.161: sourcing /Users/israel/.vim/bundle/rng/plugin/rng.vim
735.657  002.761  002.761: sourcing /Users/israel/.vim/bundle/search_party/plugin/SearchParty.vim
736.442  000.576  000.576: sourcing /Users/israel/.vim/bundle/signify/plugin/signify.vim
737.325  000.151  000.151: sourcing /Users/israel/.vim/bundle/vimregstyle/autoload/extended_regex.vim
737.810  001.164  001.013: sourcing /Users/israel/.vim/bundle/sintax/plugin/sintax.vim
738.334  000.316  000.316: sourcing /Users/israel/.vim/bundle/skybison/plugin/skybison.vim
738.752  000.222  000.222: sourcing /Users/israel/.vim/bundle/sleuth/plugin/sleuth.vim
739.065  000.113  000.113: sourcing /Users/israel/.vim/bundle/startify/plugin/startify.vim
739.549  000.279  000.279: sourcing /Users/israel/.vim/bundle/switch/plugin/switch.vim
740.475  000.729  000.729: sourcing /Users/israel/.vim/bundle/taglist/plugin/taglist.vim
742.414  001.346  001.346: sourcing /Users/israel/.vim/bundle/tlib/plugin/02tlib.vim
742.461  001.794  000.448: sourcing /Users/israel/.vim/bundle/tcommand/plugin/tcommand.vim
742.670  000.020  000.020: sourcing /Users/israel/.vim/bundle/tlib/plugin/02tlib.vim
744.779  001.489  001.489: sourcing /Users/israel/.vim/bundle/vim-addon-manager/autoload/vam.vim
811.315  068.410  066.921: sourcing /Users/israel/.vim/bundle/vim-addon-manager-known-repositories/plugin/vim-addon-manager-known-repositories.vim
811.690  000.098  000.098: sourcing /Users/israel/.vim/bundle/vimazing/plugin/vimazing.vim
812.047  000.158  000.158: sourcing /Users/israel/.vim/bundle/vimcallgraph/plugin/vimcallgraph.vim
